,SpecimenID,continent,SporeO1,SporeO2,SporeO3,SporeO4,SporeP0,SporeP1,SporeP2,SporeP3,SporeD0,SporeD1,SporeD2,SporeD3,SporeD4,SporeLength,SporeWidth,SporeQ,CheiloLength,CheiloWidth,CheiloQ_AM,CheiloQ_AB,CheiloQ_BM,BasidiaQ,NoOfCompleteLamellae,Latitude,Longitude,Altitude,CheiloCylindrical,CheiloVentiLagen,CheiloClavateGently,CheiloClavateStipitate,CheiloClavateVentricose,CheiloPyriBalloon,Pinaceae,Salicaceae,Fagaceae,Species,Section
60,61,Europe,0,0,1,0,0,1,1,0,0,0,0,0,1,0.351756198,0.738464187,0.048381543,0.696569921,0.213154016,0.25,0.218202589,0.733346022,,0.900554675,0.731774415,0.31911967,0.148504641,0,1,0,0,0,0,,,,sinapizans,Sinapizantia
61,62,Europe,0,0,1,0,0,0,1,0,0,0,0,0,1,0.904269972,0.872245179,0.632575758,0.834903882,0.43220339,0.414699162,0.749809596,0.070041873,,0.47385103,0.731774415,0.31911967,0.148504641,1,0,1,0,0,0,0,0,0,aestivale,Velutipes
62,63,Europe,1,0,0,0,1,0,0,0,1,0,0,0,0,0.143250689,0.251721763,0.17165978,0.470599322,0.213154016,0.16507997,0.12395278,0.840883137,,0.120839937,0.731774415,0.31911967,0.148504641,0,1,0,0,0,0,,,,mesophaeum,Hebeloma-Hebeloma
63,64,Europe,1,0,0,0,1,0,0,0,0,0,0,1,0,0.211432507,0.070075758,0.894628099,0.183377309,0.36366986,0.699162224,0.592155369,0.513703845,,0.643819334,0.731774415,0.31911967,0.148504641,0,1,0,0,1,0,,,,theobrominum,Theobromina
64,65,Europe,0,0,1,0,1,1,0,0,0,0,1,1,0,0.143250689,0.406163912,0.032541322,0.875612514,0.696389094,0.520944402,0.760853008,0.186334222,,0.569532488,0.731774415,0.31911967,0.148504641,0,0,1,1,0,0,,,,velutipes,Velutipes
65,66,Europe,1,1,0,0,1,1,0,0,0,0,0,1,0,0.47899449,0.50327135,0.578512397,0.788918206,0.785003685,0.734577304,0.735529322,0.394556528,,0.507329635,0.731774415,0.31911967,0.148504641,0,0,1,1,0,0,1,0,0,leucosarx,Velutipes
66,67,Europe,0,1,0,0,1,0,0,0,0,0,1,0,0,0.709022039,0.604855372,0.778236915,0.595175273,0.112380251,0.16507997,0.071591775,0.908831367,,0.005150555,0.729195323,0.332702889,0.656067377,0,1,0,0,0,0,0,1,0,paludicola,Hebeloma-Amygdalina
67,68,Europe,0,1,0,0,1,0,0,0,0,0,1,0,0,0.827134986,0.698174931,0.757403581,0.920844327,0.336772292,0.382520944,0.133092155,0.94822992,,0.057250396,0.729195323,0.332702889,0.656067377,0,1,0,0,0,0,0,1,0,paludicola,Hebeloma-Amygdalina
68,69,Europe,0,0,1,1,1,1,0,0,0,0,0,0,1,0.806990358,0.939393939,0.130165289,0.595175273,0.412306559,0.344630617,0.099961919,0.944613628,,0.978209192,0.73022696,0.324449794,0.240116879,0,1,0,0,0,0,0,0,0,sinapizans,Sinapizantia
69,70,Europe,0,1,1,0,1,0,0,0,1,1,0,0,0,0.143250689,0.300275482,0.108815427,0.993026762,0.676308032,0.68488195,0.826351866,0.139322421,0.816734075,0.960776545,0.73022696,0.324449794,0.240116879,0,0,0,1,0,0,0,0,0,aanenii,Denudata-Crustuliniformia
70,71,Europe,0,1,1,0,0,0,1,0,0,0,0,0,1,0.988464187,0.814566116,0.976756198,0.991519035,0.889646279,0.428598629,0.842916984,0.004758279,,0.011489699,0.728679505,0.329779917,0.505328292,0,0,0,0,0,0,1,1,0,fusisporum,Sacchariolentia
71,72,Europe,0,1,0,0,1,0,0,0,0,0,0,1,0,0.709022039,0.652376033,0.658057851,0.855258198,0.586956522,0.510472201,0.571210967,0.460791778,,0.643819334,0.727819807,0.328232462,0.499312479,0,0,1,0,1,0,0,0,1,velutipes,Velutipes
